numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,1,1,1,0,0,0,0,0,0.0,1.0,7,0,0,0.0,1,1.0,0.0,0
7,0,0,1,265.0,195.0,37.8571,148.0,100.0,21.1429,117.0,95.0,16.7143,124.714,40.4232,5,1,2,3,15,0,10,0,114.0,6.0,7,10,3,0.0,3,36.0,34.0,1
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,2,1,0,2,0,0,0,0,4.0,1.0,8,0,0,0.0,1,3.0,1.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,5,1,5,0,10,0,6,0,18.0,5.0,7,4,0,0.0,5,5.0,5.0,0
4,0,0,2,3.0,3.0,0.75,49.0,44.0,12.25,-46.0,0.0,-11.5,178.857,4.57143,1,2,1,0,0,0,1,0,4.0,1.0,12,0,0,1.0,1,1.0,1.0,0
3,0,0,1,250.0,125.0,83.3333,0.0,0.0,0.0,250.0,125.0,83.3333,125.286,0.214286,16,1,0,16,66,0,2,0,81.0,12.0,17,1,2,1.0,10,53.0,18.0,1
7,3,0,3,11.0,4.0,1.57143,13.0,4.0,1.85714,-2.0,0.0,-0.285714,217.286,71.4545,2,1,1,1,1,0,0,0,47.0,2.0,7,0,1,0.0,1,18.0,8.0,0
3,0,0,1,13.0,11.0,4.33333,4.0,2.0,1.33333,9.0,9.0,3.0,27.2857,18.0,12,2,4,10,190,0,3,31,124.0,20.0,27,2,1,1.0,14,67.0,52.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,4,1,0,4,1,0,0,0,8.0,2.0,9,0,0,0.0,2,8.0,2.0,0
14,3,1,2,157.0,61.0,11.2143,89.0,28.0,6.35714,68.0,33.0,4.85714,178.857,14.7607,9,1,2,7,36,0,6,0,148.0,9.0,19,6,2,0.0,4,60.0,42.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,1,2,1,0,0,0,0,0,0.0,1.0,7,0,0,0.0,1,1.0,0.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,1,1,1,0,0,0,0,0,0.0,1.0,7,0,0,0.0,1,1.0,0.0,0
5,0,0,1,53.0,28.0,10.6,18.0,7.0,3.6,35.0,21.0,7.0,27.2857,17.9946,11,2,3,9,120,0,5,0,177.0,16.0,16,5,8,0.0,6,101.0,42.0,0
2,0,0,1,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,162.143,51.1429,3,1,2,2,190,0,11,0,64.0,20.0,7,11,0,0.0,20,24.0,20.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.714,0.0,12,3,4,8,91,0,4,2,65.0,14.0,47,4,0,0.0,9,35.0,31.0,2
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0,1,0,0,0,0,2,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
37,3,1,7,541.0,47.0,14.6216,285.0,27.0,7.7027,256.0,44.0,6.91892,226.857,72.8463,18,1,8,10,171,0,35,0,244.0,19.0,7,14,10,0.0,9,149.0,72.0,2
38,7,0,6,795.0,296.0,20.9211,173.0,39.0,4.55263,622.0,257.0,16.3684,229.0,53.9493,24,1,2,22,406,0,25,1,424.0,29.0,13,3,5,3.0,7,205.0,91.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,1,1,0,1,0,0,0,0,3.0,1.0,8,0,0,0.0,1,2.0,1.0,0
12,2,0,2,234.0,80.0,19.5,160.0,58.0,13.3333,74.0,60.0,6.16667,178.714,29.7265,6,1,0,6,3,0,1,0,59.0,3.0,7,1,2,0.0,1,20.0,10.0,1
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,1,1,1,0,0,0,0,0,0.0,1.0,7,0,0,0.0,1,1.0,0.0,0
5,0,0,1,163.0,80.0,32.6,2.0,2.0,0.4,161.0,80.0,32.2,125.857,0.685364,7,1,6,1,10,0,3,0,24.0,5.0,7,3,0,0.0,5,8.0,7.0,0
169,35,1,7,2958.0,124.0,17.503,1610.0,128.0,9.52663,1348.0,104.0,7.97633,239.143,63.7094,54,1,1,53,1128,0,67,0,1217.0,48.0,7,38,37,1.0,7,605.0,300.0,4
13,2,0,1,421.0,183.0,32.3846,17.0,5.0,1.30769,404.0,183.0,31.0769,125.857,8.91347,28,1,21,8,91,5,4,0,55.0,14.0,7,1,1,0.0,11,39.0,17.0,2
9,0,0,1,671.0,341.0,74.5556,43.0,37.0,4.77778,628.0,341.0,69.7778,125.857,2.92463,12,1,4,8,190,1,18,0,114.0,20.0,22,11,4,7.0,16,66.0,36.0,1
15,2,0,1,1033.0,442.0,68.8667,73.0,28.0,4.86667,960.0,442.0,64.0,125.857,3.26151,38,1,25,16,1225,1,20,5,248.0,50.0,33,16,3,0.0,47,114.0,86.0,3
3,0,0,1,15.0,13.0,5.0,8.0,6.0,2.66667,7.0,7.0,2.33333,162.143,91.8762,12,1,3,10,190,0,11,0,172.0,20.0,7,10,7,1.0,12,102.0,36.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1429,0.0,0,1,0,0,0,0,0,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
67,11,2,5,789.0,93.0,11.7761,905.0,230.0,13.5075,-116.0,89.0,-1.73134,218.714,63.453,57,1,32,31,1953,2,7,9,712.0,63.0,30,0,2,0.0,27,295.0,142.0,10
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7143,0.0,2,1,0,2,1,0,2,0,30.0,2.0,7,2,0,0.0,2,10.0,5.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,1,1,1,0,0,0,0,0,0.0,1.0,7,0,0,0.0,1,1.0,0.0,0
18,4,0,4,849.0,551.0,47.1667,871.0,570.0,48.3889,-22.0,44.0,-1.22222,239.143,64.3996,7,1,1,7,45,0,13,0,90.0,10.0,33,9,3,0.0,5,33.0,26.0,1
11,2,0,2,210.0,131.0,19.0909,171.0,121.0,15.5455,39.0,32.0,3.54545,127.857,7.57279,21,1,6,16,378,0,22,0,503.0,28.0,7,22,13,0.0,13,252.0,122.0,1
20,5,1,6,1193.0,577.0,59.65,1018.0,670.0,50.9,175.0,81.0,8.75,218.714,118.121,18,1,4,14,406,0,15,0,1003.0,29.0,12,0,1,0.0,7,249.0,304.0,5
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,4,1,0,4,1,0,0,0,8.0,2.0,9,0,0,0.0,2,8.0,2.0,0
5,0,0,1,91.0,43.0,18.2,4.0,3.0,0.8,87.0,43.0,17.4,125.857,3.32967,2,2,2,0,3,0,1,1,10.0,3.0,17,1,0,0.0,3,3.0,3.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4,1,1,4,36,0,2,0,56.0,9.0,14,2,0,0.0,8,27.0,15.0,0
10,3,0,4,110.0,37.0,11.0,91.0,25.0,9.1,19.0,27.0,1.9,237.714,36.3065,5,2,1,4,6,0,1,2,33.0,4.0,97,1,0,0.0,4,22.0,11.0,1
15,2,0,5,59.0,15.0,3.93333,53.0,35.0,3.53333,6.0,8.0,0.4,230.857,82.6053,0,2,0,0,0,0,22,3,0.0,0.0,12,1,0,21.0,0,0.0,0.0,1
6,0,0,1,78.0,29.0,13.0,16.0,11.0,2.66667,62.0,28.0,10.3333,85.1429,45.7198,19,1,9,10,66,0,7,0,155.0,12.0,7,7,0,0.0,12,83.0,30.0,3
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7143,0.0,1,1,0,1,1,0,0,0,6.0,2.0,7,0,0,0.0,2,3.0,2.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,2,1,0,2,1,0,0,0,6.0,2.0,9,0,0,0.0,2,8.0,2.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,1,1,0,1,0,0,0,0,3.0,1.0,8,0,0,0.0,1,2.0,1.0,0
23,4,1,7,207.0,61.0,9.0,153.0,56.0,6.65217,54.0,36.0,2.34783,239.143,67.7108,11,1,1,10,36,0,3,0,61.0,9.0,13,3,0,0.0,8,36.0,21.0,1
21,1,0,2,889.0,302.0,42.3333,91.0,47.0,4.33333,798.0,302.0,38.0,125.857,10.1938,37,2,9,30,780,0,16,0,332.0,40.0,30,9,1,0.0,34,206.0,106.0,4
12,0,0,1,662.0,282.0,55.1667,56.0,22.0,4.66667,606.0,282.0,50.5,125.857,4.61135,28,1,18,10,253,0,16,0,144.0,23.0,7,11,4,0.0,19,77.0,38.0,0
12,2,0,7,220.0,104.0,18.3333,104.0,78.0,8.66667,116.0,102.0,9.66667,239.143,31.0792,2,1,0,2,28,0,4,0,54.0,8.0,26,4,1,0.0,7,16.0,14.0,0
134,23,1,8,2262.0,325.0,16.8806,2219.0,502.0,16.5597,43.0,159.0,0.320896,239.143,66.8093,77,1,18,67,1653,0,45,0,1250.0,58.0,17,14,21,7.0,13,523.0,251.0,13
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2857,0.0,1,1,1,1,1,0,0,0,27.0,2.0,7,0,1,0.0,0,15.0,6.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2857,0.0,23,2,3,20,190,0,10,0,209.0,20.0,21,7,4,1.0,16,108.0,54.0,1
35,8,1,6,504.0,74.0,14.4,394.0,77.0,11.2571,110.0,37.0,3.14286,218.714,65.8846,35,1,8,29,595,0,12,0,654.0,35.0,26,3,1,2.0,20,220.0,149.0,4
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8571,0.0,0,1,0,0,0,0,0,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2857,0.0,7,1,4,3,28,0,3,0,45.0,8.0,11,3,0,0.0,7,16.0,16.0,0
26,4,0,3,3032.0,837.0,116.615,2652.0,892.0,102.0,380.0,142.0,14.6154,219.0,44.9991,23,1,14,10,120,0,12,0,285.0,16.0,10,7,1,2.0,14,65.0,67.0,1
21,0,0,2,263.0,67.0,12.5238,172.0,29.0,8.19048,91.0,43.0,4.33333,162.143,51.9723,6,1,1,5,45,0,4,0,108.0,10.0,24,2,4,2.0,3,55.0,36.0,0
10,0,0,5,206.0,169.0,20.6,83.0,36.0,8.3,123.0,133.0,12.3,239.143,68.6332,0,2,0,0,0,0,138,3,0.0,0.0,12,1,0,137.0,0,0.0,0.0,0
37,7,0,7,599.0,79.0,16.1892,302.0,73.0,8.16216,297.0,76.0,8.02703,239.143,80.1037,30,1,1,29,210,0,0,1,221.0,21.0,19,0,5,0.0,16,177.0,46.0,0
24,2,0,5,210.0,45.0,8.75,101.0,41.0,4.20833,109.0,27.0,4.54167,230.143,68.6218,2,1,0,2,703,0,1,0,114.0,38.0,44,1,0,0.0,38,74.0,38.0,1
11,0,0,6,88.0,26.0,8.0,39.0,13.0,3.54545,49.0,13.0,4.45455,239.143,58.4562,10,3,5,5,36,0,2,0,33.0,9.0,45,2,0,0.0,7,18.0,18.0,1
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,1,1,0,1,0,0,0,0,3.0,1.0,8,0,0,0.0,1,2.0,1.0,0
4,0,0,2,46.0,29.0,11.5,37.0,26.0,9.25,9.0,20.0,2.25,163.0,58.2391,5,1,1,4,6,0,1,0,38.0,4.0,10,1,0,0.0,4,17.0,9.0,1
13,1,1,4,78.0,16.0,6.0,56.0,10.0,4.30769,22.0,10.0,1.69231,231.429,65.7912,6,2,1,5,1,0,0,3,22.0,2.0,30,0,0,0.0,1,15.0,8.0,0
20,4,1,7,439.0,259.0,21.95,524.0,306.0,26.2,-85.0,14.0,-4.25,239.143,64.603,9,1,1,8,6,0,5,0,133.0,4.0,7,5,0,0.0,0,48.0,17.0,2
3,0,0,1,136.0,68.0,45.3333,0.0,0.0,0.0,136.0,68.0,45.3333,125.857,0.5,4,1,1,4,6,0,2,0,21.0,4.0,10,2,0,0.0,4,10.0,4.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,2,1,0,2,1,0,0,0,6.0,2.0,9,0,0,0.0,2,8.0,2.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1429,0.0,0,1,0,0,0,0,0,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
7,1,0,5,45.0,27.0,6.42857,62.0,34.0,8.85714,-17.0,0.0,-2.42857,239.143,19.9016,4,1,0,4,3,0,0,0,13.0,3.0,16,0,0,0.0,1,8.0,5.0,0
32,4,0,5,517.0,45.0,16.1563,347.0,101.0,10.8438,170.0,45.0,5.3125,223.714,82.9298,16,1,4,13,171,0,1,3,248.0,19.0,15,1,10,0.0,9,171.0,98.0,4
32,4,0,7,383.0,130.0,11.9687,394.0,93.0,12.3125,-11.0,37.0,-0.34375,239.143,134.957,21,1,2,21,120,0,16,0,208.0,16.0,15,0,5,2.0,8,82.0,40.0,3
2,0,0,1,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,27.2857,14.2857,6,3,1,5,1,0,0,0,19.0,2.0,15,0,0,0.0,2,9.0,5.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,2,1,0,2,1,0,0,0,6.0,2.0,9,0,0,0.0,2,8.0,2.0,0
36,10,1,6,350.0,78.0,9.72222,511.0,141.0,14.1944,-161.0,51.0,-4.47222,239.143,38.1771,12,2,2,11,136,0,1,16,186.0,17.0,91,0,0,0.0,5,60.0,49.0,4
3,0,1,2,2.0,2.0,0.666667,2.0,2.0,0.666667,0.0,0.0,0.0,162.143,51.1429,5,1,3,2,15,0,3,0,95.0,6.0,7,0,1,0.0,5,17.0,27.0,0
10,2,0,1,547.0,202.0,54.7,100.0,73.0,10.0,447.0,159.0,44.7,125.714,17.9888,24,1,0,24,171,0,7,0,196.0,19.0,22,7,4,0.0,15,107.0,65.0,1
9,2,1,2,142.0,51.0,15.7778,104.0,42.0,11.5556,38.0,19.0,4.22222,177.857,43.168,7,1,3,4,21,0,1,0,121.0,7.0,12,0,1,1.0,5,71.0,29.0,0
3,0,0,1,12.0,8.0,4.0,5.0,3.0,1.66667,7.0,6.0,2.33333,81.0,19.2381,1,1,0,1,0,0,0,0,3.0,1.0,7,0,0,0.0,1,2.0,1.0,0
5,0,0,1,150.0,73.0,30.0,3.0,3.0,0.6,147.0,73.0,29.4,125.857,0.797143,3,2,1,3,21,0,2,1,32.0,7.0,15,1,0,1.0,7,14.0,9.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8571,0.0,0,1,0,0,0,0,0,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
6,0,0,1,205.0,76.0,34.1667,9.0,3.0,1.5,196.0,76.0,32.6667,125.714,6.77073,6,1,0,6,55,0,2,0,61.0,11.0,17,0,0,0.0,11,27.0,21.0,0
4,0,0,3,7.0,4.0,1.75,7.0,4.0,1.75,0.0,0.0,0.0,218.857,27.1837,2,1,2,0,0,0,2,0,4.0,1.0,7,0,0,2.0,0,1.0,1.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,2,1,0,2,1,0,0,0,6.0,2.0,9,0,0,0.0,2,8.0,2.0,0
4,0,0,1,20.0,18.0,5.0,4.0,2.0,1.0,16.0,16.0,4.0,162.143,114.014,3,1,1,2,6,0,2,0,44.0,4.0,10,2,0,0.0,4,14.0,9.0,0
9,0,0,3,212.0,86.0,23.5556,28.0,10.0,3.11111,184.0,86.0,20.4444,180.0,6.76954,4,3,1,3,45,0,4,2,66.0,10.0,29,1,5,3.0,5,36.0,30.0,1
4,0,0,1,4.0,2.0,1.0,3.0,2.0,0.75,1.0,1.0,0.25,34.8571,20.5714,11,1,9,2,10,0,3,0,28.0,5.0,7,3,0,0.0,5,11.0,13.0,2
18,2,0,4,344.0,101.0,19.1111,324.0,106.0,18.0,20.0,28.0,1.11111,239.143,59.1516,20,1,20,0,6,1,2,0,13.0,4.0,18,1,0,0.0,4,5.0,4.0,2
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1429,0.0,0,1,0,0,0,0,0,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
14,2,0,6,155.0,89.0,11.0714,74.0,22.0,5.28571,81.0,75.0,5.78571,239.143,148.258,13,2,2,12,66,0,5,11,112.0,12.0,41,4,1,0.0,5,58.0,39.0,1
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2857,0.0,4,1,1,3,1,0,1,0,10.0,2.0,8,1,0,0.0,2,6.0,2.0,1
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,2,1,0,2,1,0,0,0,6.0,2.0,9,0,0,0.0,2,8.0,2.0,0
77,14,1,7,790.0,125.0,10.2597,1000.0,183.0,12.987,-210.0,49.0,-2.72727,239.143,73.3463,28,2,10,22,210,1,3,16,456.0,21.0,91,1,1,0.0,5,174.0,126.0,7
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1429,0.0,0,1,0,0,0,0,0,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
11,0,0,2,111.0,28.0,10.0909,151.0,55.0,13.7273,-40.0,7.0,-3.63636,173.857,26.7143,4,1,0,4,1,0,1,0,13.0,2.0,7,1,1,0.0,1,9.0,5.0,1
18,4,1,6,251.0,128.0,13.9444,265.0,149.0,14.7222,-14.0,26.0,-0.777778,239.143,49.6773,7,2,2,5,36,0,7,0,63.0,9.0,20,7,0,0.0,4,22.0,22.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,2,1,0,2,1,0,0,0,6.0,2.0,9,0,0,0.0,2,8.0,2.0,0
14,4,1,2,195.0,82.0,13.9286,97.0,73.0,6.92857,98.0,27.0,7.0,178.857,23.8447,12,2,3,9,45,0,6,0,153.0,10.0,20,6,1,0.0,4,34.0,39.0,0
13,2,0,3,316.0,122.0,24.3077,147.0,94.0,11.3077,169.0,122.0,13.0,180.0,7.31691,5,2,4,1,15,0,1,1,19.0,6.0,16,1,0,0.0,2,11.0,6.0,0
11,0,0,5,260.0,142.0,23.6364,99.0,49.0,9.0,161.0,131.0,14.6364,239.143,34.961,10,1,6,4,15,0,5,0,88.0,6.0,7,5,1,0.0,4,18.0,22.0,2
6,0,0,1,249.0,113.0,41.5,36.0,33.0,6.0,213.0,113.0,35.5,125.857,4.91394,6,2,1,5,21,0,0,3,62.0,7.0,20,0,0,0.0,7,29.0,14.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,2,1,0,2,1,0,0,0,6.0,2.0,9,0,0,0.0,2,8.0,2.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2857,0.0,20,1,2,19,136,0,5,28,399.0,17.0,7,5,14,0.0,2,171.0,73.0,1
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,4,1,0,4,1,0,0,0,9.0,2.0,9,0,0,0.0,2,8.0,2.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8571,0.0,0,1,0,0,0,0,0,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0,1,0,0,3,0,0,0,12.0,3.0,10,0,0,0.0,3,3.0,3.0,1
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1429,0.0,0,1,0,0,0,0,0,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1429,0.0,0,1,0,0,0,0,0,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
6,0,0,1,184.0,88.0,30.6667,22.0,13.0,3.66667,162.0,88.0,27.0,125.857,0.482143,10,1,1,9,15,0,4,0,47.0,6.0,10,2,1,0.0,5,23.0,15.0,0
1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.7143,0.0,9,1,3,6,3,0,0,0,28.0,3.0,7,0,1,0.0,2,26.0,8.0,0
13,0,1,2,175.0,118.0,13.4615,90.0,32.0,6.92308,85.0,107.0,6.53846,162.143,117.165,17,1,1,16,45,0,3,0,188.0,10.0,8,3,4,0.0,6,115.0,37.0,0
16,1,0,4,313.0,110.0,19.5625,221.0,64.0,13.8125,92.0,46.0,5.75,239.143,71.078,1,1,1,0,6,0,3,0,14.0,4.0,18,2,0,0.0,4,5.0,4.0,2
3,0,0,1,55.0,48.0,18.3333,20.0,14.0,6.66667,35.0,34.0,11.6667,162.143,29.1403,9,1,4,5,28,0,21,0,92.0,8.0,7,12,1,3.0,7,46.0,26.0,0
5,0,0,2,28.0,13.0,5.6,19.0,12.0,3.8,9.0,9.0,1.8,163.0,89.9388,10,1,2,9,36,0,11,0,143.0,9.0,7,9,3,2.0,5,66.0,41.0,2
7,1,0,5,200.0,190.0,28.5714,210.0,200.0,30.0,-10.0,0.0,-1.42857,239.143,7.53071,5,1,2,3,10,0,0,0,99.0,5.0,7,0,0,0.0,5,31.0,29.0,0
96,12,0,3,4201.0,1063.0,43.7604,1315.0,360.0,13.6979,2886.0,1063.0,30.0625,180.0,42.1587,39,1,5,38,2016,0,32,0,1543.0,64.0,17,25,49,7.0,11,1009.0,534.0,3
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1429,0.0,0,1,0,0,0,0,0,0,0.0,0.0,7,0,0,0.0,0,0.0,0.0,0
